Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
DIB,Dipula Properties Limited Class B,Buy,Strong buy,Sell,52.11941089635731,-3,4.938235294117703,-14.331946370779411,48.01587301587302,45.767195767195766,
WVR,Weaver Fintech Ltd.,Buy,Strong buy,Neutral,52.639474559001044,-1,-52.082352941176396,117.60626863601564,59.77904627790212,45.91569969144339,
EMI,Emira Property Fund Ltd.,Strong buy,Strong buy,Buy,64.60599066757027,80,39.5117647058878,125.03113325031205,90.83344131070128,83.09325071817032,
CAA,CA Sales Holdings (Pty) Ltd.,Sell,Strong sell,Neutral,46.16073570506229,-78,3.6235294117645935,-158.98926654739995,4.215229215229204,18.042605542605525,
TSG,Tsogo Sun Limited,Buy,Strong buy,Neutral,52.52552477012249,-2,-8.5,-13.793976208551879,33.85416666666666,30.23358585858585,Marubozu White
KAP,KAP Limited,Buy,Buy,Sell,53.25672895326264,-3,24.202941176471228,27.47104767034887,73.48484848484848,76.54808959156787,
OCE,Oceana Group Limited,Sell,Strong sell,Sell,45.01259366648671,-200,6.258823529455185,-173.77170720575643,16.666666666666668,16.994701035955682,
SEA,Spear REIT Ltd.,Sell,Sell,Sell,45.15179754700959,-30,6.482352941176487,-112.95094272972321,52.845152449469,60.11305241521068,
SBP,Sabvest Capital Ltd.,Buy,Strong buy,Neutral,60.65571493246644,200,590.0676470588242,143.49255849750728,36.3939393939394,32.632034632034625,
SPG,Super Group Limited,Sell,Sell,Neutral,48.54225695485278,38,-62.21764705883061,4.269419486442044,64.18439716312058,55.092551720078866,
RBO,Rainbow Chicken Limited,Sell,Strong sell,Neutral,35.70291391057846,-20,-40.99411764705883,-77.8514363420026,32.52840909090909,37.665719696969695,
HDC,Hudaco Industries Limited,Sell,Strong sell,Neutral,47.70075353878786,158,158.93823529406654,22.007395197598616,69.46073638722102,73.0564531621222,
SYG,Sygnia Ltd.,Buy,Strong buy,Neutral,58.62310442693914,38,176.63235294117476,98.09751349438146,56.54112217124623,58.03838106122088,
FBR,Famous Brands Limited,Sell,Strong sell,Neutral,33.87380241086363,-364,-193.53235294113892,-146.22071213186368,6.920634920634909,11.604261796042644,Marubozu Black
AFT,Afrimat Limited,Strong sell,Strong sell,Sell,34.68910883890628,-116,-193.21176470589126,-101.38281078272763,29.29577464788731,33.548529440462524,
CAT,Caxton and CTP Publishers and Printers Limited,Strong sell,Strong sell,Neutral,40.26698829807352,-44,5.082352941168438,-49.96724435710039,64.17748917748916,74.76551226551226,
OCT,Octodec Investments Limited,Buy,Strong buy,Neutral,60.721942780480354,11,25.05882352940671,58.12951547689988,89.8707032481867,79.48701776516346,Marubozu White
LEW,Lewis Group Limited,Sell,Strong sell,Buy,42.45531142994922,-201,-162.5764705882284,-126.04949874686211,17.247952042137754,18.168337144757697,
ACS,Acsion Limited,Neutral,Neutral,Sell,46.76504393157691,-15,-33.17352941176455,-58.72495857809829,28.518518518518544,26.70781893004118,Marubozu White
BEL,Bell Equipment Limited,Buy,Buy,Neutral,51.37718378479033,-85,108.34117647059202,-154.24688561721,30.184770682466503,36.46111233023674,
MKR,"Montauk Renewables, Inc.",Buy,Strong buy,Neutral,64.49383581735097,257,308.4794117647057,171.30251208122556,88.23422196544514,81.35863351796827,
NPK,Nampak Limited,Sell,Strong sell,Neutral,46.174727636137156,-1924,376.5911764705452,-50.01168606554335,15.209511381760182,34.56502455383034,Shooting Star
SUR,Spur Corporation Limited,Sell,Sell,Sell,42.25641933460259,-174,156.07058823529405,-59.370702903826185,37.19135802469136,48.37670338335675,Marubozu Black
CPP,Collins Property Group Limited,Strong buy,Strong buy,Buy,58.23374601761347,104,39.66176470587857,102.81651627016522,69.44444444444444,72.11934156378601,Marubozu White
KP2,Kore Potash PLC,Sell,Strong sell,Neutral,47.41803664915081,0,-2.241176470588229,-64.38213914849327,45.555555555555564,38.518518518518555,
CHP,Choppies Enterprises Limited,Sell,Strong sell,Neutral,34.64627014869967,-19,-9.873529411764821,-112.8258784549631,26.49342891278376,22.658303464755083,
MCZ,MC Mining Ltd,Sell,Sell,Sell,48.358352246923324,-50,2.382352941177146,-59.022106065556194,30.334890965732082,45.00259605399793,
KAL,KAL Group Limited,Strong sell,Strong sell,Sell,43.882714052166634,-192,-21.344117647058738,-56.79292222991089,19.80319803198032,26.170299069538725,Spinning Top Black
MRF,Merafe Resources Limited,Buy,Strong buy,Sell,60.93554146937145,8,6.038235294118408,193.37748344371323,85.05050505050504,87.2053872053872,Bearish Harami
MPT,Mpact Limited,Sell,Sell,Sell,50.31023484523448,29,-35.847058823529096,-68.4563758389297,65.07301066728598,62.625684681830684,Long Lower Shadow
IVT,Invicta Holdings Limited,Sell,Strong sell,Neutral,46.46492477722835,-30,88.33235294118367,-49.34126863015671,20.374081496325978,33.04604195860391,
ORN,Orion Minerals Limited,Sell,Sell,Neutral,47.879240023878324,0,-0.5647058823529427,8.888888888889882,60,60,Doji
SHG,Sea Harvest Group Ltd.,Sell,Strong sell,Neutral,42.18885659181705,4,-30.80882352941171,-131.57894736842468,79.9671592775041,73.9224638551804,
YYLBEE,YeboYethu Limited,Buy,Strong buy,Neutral,75.52460453658931,1070,780.2352941176468,140.16569791629541,94.44444444444446,97.22222222222221,Marubozu Black
CMH,Combined Motor Holdings Limited,Neutral,Neutral,Neutral,49.07460965135909,-260,-27.508823529415622,-74.54248172881881,45.1923450524686,37.76830032017467,
ZZD,Zeda Limited,Buy,Buy,Buy,52.000195163910824,-4,50.555882352941126,-71.28470723637247,30.01396648044693,32.10273122284293,
PPE,Purple Group Limited,Strong sell,Strong sell,Neutral,42.577844397700524,-1,-4.94999999999996,-78.45553501745424,37.254901960784316,42.96525627794978,Spinning Top Black
SDL,Southern Palladium Ltd.,Sell,Sell,Neutral,47.95379348574976,141,120.7970588235296,-41.55770645836844,46.41666666666665,59.80555555555554,
CSB,Cashbuild Limited,Sell,Strong sell,Neutral,42.575517823844656,-176,-146.43235294122678,-108.09848181294905,19.733333333333334,20.003306310602426,
MDI,Master Drilling Group Ltd.,Buy,Strong buy,Neutral,51.20883237330898,20,7.085294117646981,-10.150507525374246,66.66666666666667,64.53551912568308,"Hanging Man, Long Lower Shadow"
IOC,iOCO Limited,Sell,Strong sell,Buy,43.746972932858355,-7,-6.729411764706072,-140.04720692368284,17.415824915824896,16.620838009726885,"Bullish Engulfing, Marubozu White"
