Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
NY1,Ninety One Ltd.,2025-H1,2025-09-30,17303082765.0536,ZAR,4.773370931259606,14479591109.8748,ZAR,4673163024.07418,ZAR,3727770364.51919,ZAR,5020443230,ZAR,4.2959,ZAR,5.8155574166214965
PPH,Pepkor Holdings Ltd.,2025-H2,2025-09-30,95340000000,ZAR,11.985529035895508,33043000000,ZAR,10735000000,ZAR,5638000000,ZAR,15644000000,ZAR,1.5204,ZAR,226.75693101225013
BVT,Bidvest Group Limited,2026-H1,2025-12-31,128808085000,ZAR,3.0481851949580885,35506890000,ZAR,11667703000,ZAR,6082017000,ZAR,16207418000,ZAR,17.8868,ZAR,-7.09265905891764
MNP,Mondi plc,2025-H2,2025-12-31,147336625865.18307,ZAR,-1.3447517008764984,24172890403.210335,ZAR,9527504173.154852,ZAR,3117278121.6862483,ZAR,19211928370.13333,ZAR,7.0728,ZAR,-28.587477025980828
PAN,Pan African Resources PLC,2026-H1,2025-12-31,14239377142.016722,ZAR,107.23947668951,7382175550.24597,ZAR,7191796429.467736,ZAR,4146137474.210714,ZAR,7939793254.4,ZAR,2.0454986666666666,ZAR,157.4817510690393
APN,Aspen Pharmacare Holdings Limited,2026-H1,2025-12-31,38481000000,ZAR,-15.472817133443161,16127000000,ZAR,6160000000,ZAR,-1999000000,ZAR,8166000000,ZAR,-4.5055,ZAR,-144.6889971136393
OMU,Old Mutual Ltd.,2025-H2,2025-12-31,322904000000,ZAR,32.87957037921031,,,49587000000,ZAR,8408000000,ZAR,,,1.8975,ZAR,11.388318168476664
CLS,Clicks Group Limited,2026-H1,2026-02-28,53206201000,ZAR,6.304409476501012,13440485000,ZAR,4834267000,ZAR,3331205000,ZAR,6803387000,ZAR,14.1272,ZAR,12.090388307916907
GRT,Growthpoint Properties Limited,2026-H1,2025-12-31,13418000000,ZAR,-5.4804170188785575,8884000000,ZAR,8764000000,ZAR,5167000000,ZAR,9534000000,ZAR,1.5117,ZAR,42.31783091696479
SHC,Shaftesbury Capital PLC,2025-H2,2025-12-31,5281024000,ZAR,-0.4795591981252826,3976485333.3333335,ZAR,2570906666.6666665,ZAR,7638624000,ZAR,2591114666.6666665,ZAR,4.032618666666667,ZAR,28.0539239467255
QLT,Quilter Plc,2025-H2,2025-12-31,210253013333.33334,ZAR,62.22550730997513,209107893333.33334,ZAR,7723946666.666667,ZAR,2694400000,ZAR,,,1.9309866666666664,ZAR,
PHP,Primary Health Properties PLC,2025-H2,2025-12-31,5815413333.333333,ZAR,34.5610541131436,5186720000,ZAR,4535573333.333333,ZAR,2671946666.6666665,ZAR,4558026666.666667,ZAR,1.4909013333333334,ZAR,102.19989669306064
EXX,Exxaro Resources Limited,2025-H2,2025-12-31,41771000000,ZAR,2.5684468999386127,7346000000,ZAR,7346000000,ZAR,7564000000,ZAR,10580000000,ZAR,31.7815,ZAR,-0.5258298251928802
